FileName,Author,GENDER,Paper_Language,Paper_Subject,involvement_rate,informational_rate,iir
21,Andrew John Fletcher,M,FR,HIS,0.013329779,0.346440949,0.038476337
22,Elizabeth Shotton,F,FR,HIS,0.009438285,0.306790067,0.030764636
23,Christophe Lafaye,M,FR,HIS,0.031425118,0.525876277,0.059757626
24,Yann Cantin,M,FR,HIS,0.028876857,0.471886714,0.061194469
25,Sophie Doucet,F,FR,HIS,0.027736503,0.476572561,0.058199958
1,Léandre LAVOIE-HUDON,M,FR,PSY,0.040714582,0.527350782,0.077205882
2,Marc-Antoine LINTEAU,M,FR,PSY,0.033303809,0.481133747,0.06921944
3,Dave LAROCHE,M,FR,PSY,0.041772152,0.526039783,0.079408732
4,Diane Aubin,F,FR,PSY,0.047110333,0.446497373,0.105510884
5,Stella Gurreri,F,FR,PSY,0.046947119,0.462745615,0.101453406
6,Estibaliz Jimenez,F,FR,PSY,0.039320673,0.492428679,0.079850493
7,Dominique Meilleur,F,FR,PSY,0.043106053,0.502266089,0.08582314
8,Georges-André Tessier,M,FR,PSY,0.028370044,0.535682819,0.052960526
9,Serge Larivée,M,FR,PSY,0.032882776,0.503675599,0.065285625
10,Faustin Mounguengui,M,FR,PSY,0.042030504,0.502852486,0.083584163
11,Benoît Fromage,M,FR,PSY,0.03245283,0.452327044,0.071746385
12,Alexandre Marois,M,FR,PSY,0.037793667,0.489646207,0.077185663
13,Jamila Hattouti,F,FR,PSY,0.045734714,0.516642012,0.088523026
14,René-Marc Lavigne,M,FR,PSY,0.037247801,0.508018624,0.073319756
15,Hubert Van Gijseghem,M,FR,PSY,0.030532599,0.459366391,0.066466767
16,Alyssa Turpin-Samson,F,FR,PSY,0.032441057,0.466672576,0.06951567
17,Caroline Beauregard,F,FR,PSY,0.034868998,0.467614688,0.074567798
18,Audrey Lamothe-Lachaîne,F,FR,PSY,0.05074065,0.488992553,0.10376569
19,Caterina Mamprin,F,FR,PSY,0.035472044,0.521539872,0.06801406
20,Mickael Idrac,M,FR,PSY,0.033466406,0.490189416,0.068272396
21,Abel Dalleau,M,FR,PSY,0.028809524,0.483333333,0.059605911
22,Christophe Ferveur,M,FR,PSY,0.042032436,0.451346526,0.093126751
23,Lyne Bordeleau and Jeannette LeBlanc,F,FR,PSY,0.034278621,0.502243865,0.068250951
24,Stephan Kennepohl,M,FR,PSY,0.031986242,0.456061909,0.070135747
25,Khalid Boudarse,M,FR,PSY,0.034161065,0.491562629,0.069494837
26,Pierre Gaudriault,M,FR,PSY,0.033967253,0.504220482,0.067365873
27,Catherine Esnard,F,FR,PSY,0.034059946,0.490690282,0.069412309
1,Jesse Hoffnung-­ Garskof,M,ES,HIS,0.04265506,0.435734494,0.097892318
2,Rebecca J. Scott,F,ES,HIS,0.055183287,0.382932598,0.144107051
3,Richard Lee Turits,M,ES,HIS,0.040115084,0.439087546,0.091360105
4,Paul Christopher Johnson,M,ES,HIS,0.05302257,0.458886242,0.115546218
5,Howard I. Tsai,M,ES,HIS,0.037637638,0.491358025,0.076599212
6,Jean M. Hébrard,M,ES,HIS,0.043392623,0.394532649,0.109984871
7,Richard Lee Turits,M,ES,HIS,0.01527733,0.341059336,0.04479376
8,Oscar A. Pérez,M,ES,HIS,0.032091965,0.4682074,0.068542199
9,Jesse Hoffnung-­ Garskof,M,ES,HIS,0.039578811,0.44104743,0.08973822
10,Stuart Kirsch,M,ES,HIS,0.028169014,0.450605039,0.062513757
11,Francesco Di Bernardo,M,ES,HIS,0.028889144,0.463601972,0.06231454
12,Jorge Camacho,M,ES,HIS,0.039118065,0.4185633,0.093457944
13,Monserrat García Rodenas,F,ES,HIS,0.044302426,0.420818891,0.105276705
14,Irene Domingo,F,ES,HIS,0.041045659,0.42985569,0.095487067
15,Enrique Muñoz-Mantas,M,ES,HIS,0.027517887,0.450192625,0.061124694
16,Silvia M. Roca-MarHnez,F,ES,HIS,0.043200168,0.409772465,0.10542477
17,Juan Romero Vinueza,M,ES,HIS,0.041182546,0.439969016,0.093603286
18,Jorge Camacho,M,ES,HIS,0.00132626,0.791777188,0.001675042
19,Brandon P. Bisbey,M,ES,HIS,0,0.747191011,0
20,Daniel Herrera Cepero,M,ES,HIS,0.036668347,0.440398185,0.083261803
21,ALEJANDRO AMARO SEGUÍ,M,ES,HIS,0.012687428,0.793540946,0.015988372
22,Eric Rojas,M,ES,HIS,0.001492537,0.782089552,0.001908397
23,Jorge Camacho,M,ES,HIS,0.044155605,0.412334071,0.107086966
24,RODRIGO PARDO FERNÁNDEZ,M,ES,HIS,0.010234798,0.676098736,0.015138023
25,Bruno Nassi Peric,M,ES,HIS,0.030541311,0.416296296,0.073364358
1,Fernanda Nicole Suazo Quintana,F,ES,PSY,0.042445602,0.534630708,0.079392376
2,Marina Jodra-Chuan,F,ES,PSY,0.048738033,0.558359927,0.087287842
3,Devis Geovanny Cedeño-Mero,M,ES,PSY,0.033005834,0.568928462,0.058014031
4,Jorge Eliecer Villarreal-Fernández,M,ES,PSY,0.043170246,0.542838167,0.079526917
5,Solana Salessi,F,ES,PSY,0.040301724,0.524676724,0.076812487
6,Borja Guerrero-Bocanegra,F,ES,PSY,0.038281707,0.535164621,0.071532581
7,Laura Margarita Daza-Murcia,F,ES,PSY,0.008950243,0.400637136,0.022340023
8,José Gabriel Soriano-Sánchez,M,ES,PSY,0.038505968,0.520985753,0.07390983
9,Natalia Cornejo-Guerra,F,ES,PSY,0.046397762,0.503613896,0.09212963
10,Tania Vieites Lestón,F,ES,PSY,0.039153439,0.526137566,0.074416734
11,Fuensanta Cerezo,F,ES,PSY,0.037659718,0.555480834,0.06779661
12,Stephen J. Loew,M,ES,PSY,0.002770083,0.382271468,0.007246377
13,Lourdes Álvarez Fernández,F,ES,PSY,0.010923238,0.431692354,0.025303293
14,Vincenzo A. Piccione,M,ES,PSY,0.009879671,0.323115896,0.030576245
15,Javier Pérez Padilla,M,ES,PSY,0.040422886,0.517164179,0.078162578
16,Yannick Hernández Bourlon-Buon,M,ES,PSY,0.047993807,0.530899239,0.090400972
17,Jaime Antonio Foces Gil,M,ES,PSY,0.040037746,0.519816662,0.077022822
18,Javier Páez Gallego,M,ES,PSY,0.041736013,0.527717322,0.079087821
19,Francisco-Manuel Morales Rodríguez,M,ES,PSY,0.046076459,0.517303823,0.089070401
20,Marc Pallarès Piquer,M,ES,PSY,0.034165949,0.480763709,0.07106599
21,Malka Margalit,F,ES,PSY,0.008011445,0.372532189,0.021505376
22,Pierre Mounoud,M,ES,PSY,0.007181697,0.342977326,0.020939276
23,Diego Gutiérrez del Pozo,M,ES,PSY,0.048404446,0.531014701,0.091154625
24,Elena Cuenca,F,ES,PSY,0.0390681,0.496594982,0.07867196
25,Esteban Sánchez Manzano,M,ES,PSY,0.042255266,0.477447336,0.088502466
